Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),21:00,11h 15m,08:15,4.0,INR 622,36 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,09h 28m,06:30,4.4,INR 892,25 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,09h 20m,06:45,3.6,INR 507,37 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,07h 54m,05:30,3.9,INR 867,32 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,09h 17m,07:15,2.5,INR 507,27 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,09h 30m,07:30,4.6,INR 892,34 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,08h 00m,06:30,4.1,INR 867,34 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,09h 45m,08:15,4.1,INR 507,27 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,08h 50m,07:50,4.4,INR 892,34 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09h 25m,09:05,4.7,INR 507,36 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),22:30,09h 30m,08:00,4.8,468,18 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:50,09h 45m,07:35,4.5,INR 500,25 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:05,09h 35m,07:40,4.4,437,20 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08h 30m,08:00,4.3,INR 450,36 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,09h 50m,07:40,4.1,INR 500,13 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,08h 00m,06:00,3.3,INR 500,25 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:25,08h 00m,07:25,3.6,INR 500,44 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30,10h 00m,07:30,2.0,INR 1500,33 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,FlixBus,A/C Seater (2+2),23:55,08h 40m,08:35,2.4,INR 582,25 Seats available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,09h 00m,06:30,1.7,INR 1399,22 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,09h 00m,06:00,4.4,INR 892,19 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 108,A/C Executive (2+3),21:20,09h 32m,06:52,3.3,INR 622,44 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30,08h 30m,06:00,4.2,INR 892,22 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1712,Ordinary 3+2 Non AC Seater,21:30,08h 30m,06:00,4.2,INR 507,25 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,21:45,08h 30m,06:15,4.5,INR 507,36 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,08h 00m,05:30,4.7,468,17 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,08h 40m,06:35,4.4,INR 500,34 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,08h 00m,04:30,4.3,INR 400,24 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,08h 05m,04:35,4.3,433,19 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,07h 30m,05:30,4.2,INR 500,21 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,FlixBus,A/C Seater (2+2),20:00,09h 00m,05:00,4.3,INR 582,24 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,07h 00m,05:30,3.9,INR 500,21 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,07h 00m,05:00,3.8,INR 500,25 Seats available
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,08h 00m,07:00,3.4,INR 488,25 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 732,Himsuta AC Seater Volvo/Scania 2+2,21:00,07h 20m,04:20,3.8,INR 920,34 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 701,Ordinary 3+2 Non AC Seater,21:30,08h 00m,05:30,3.9,INR 560,37 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 713,Himsuta AC Seater Volvo/Scania 2+2,22:00,08h 00m,06:00,3.7,INR 920,32 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 65,Himsuta AC Seater Volvo/Scania 2+2,22:30,07h 00m,05:30,3.8,INR 938,34 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,06h 10m,03:10,4.8,INR 500,29 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,05h 30m,03:30,4.6,INR 500,33 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Himgiri Adventure Tour,Bharat Benz A/C Semi Sleeper (2+2),20:00,07h 30m,03:30,2.5,INR 599,27 Seats available
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),19:55,06h 10m,02:05,3.4,INR 664,40 Seats available
