Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.4,719,34 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,1.0,584,44 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,INR 699,40 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,08:00,2.4,INR 549,29 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,1.0,INR 699,40 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,12h 40m,09:30,4.5,INR 640,41 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),20:30,12h 30m,09:00,3.6,575,28 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,12h 55m,08:55,3.8,INR 800,24 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Zimindara Travels,AC Sleeper (2+1),15:00,13h 30m,04:30,4.5,INR 1099,28 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),18:00,12h 20m,06:20,3.1,585,27 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,11h 45m,07:45,4.7,INR 427,35 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:10,13h 10m,09:20,4.6,519,30 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:45,10h 50m,07:35,4.6,INR 599,40 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,AdLaxmi holidays,VE A/C Seater / Sleeper (2+1),22:15,11h 35m,09:50,4.2,INR 601,32 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,11h 30m,09:00,4.4,INR 800,28 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,11h 45m,08:00,4.3,INR 1000,40 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:35,11h 55m,05:30,4.3,INR 549,35 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,AdLavish Travels,A/C Seater / Sleeper (2+2),16:35,12h 55m,05:30,3.6,494,37 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,11h 15m,06:00,4.3,INR 1000,37 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,VE A/C Seater / Sleeper (2+1),20:30,11h 45m,08:15,4.3,INR 601,43 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),18:15,11h 45m,06:00,4.3,INR 749,34 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,11h 15m,08:30,4.4,INR 800,28 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),20:15,11h 15m,07:30,4.4,INR 450,38 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:50,11h 40m,08:30,4.5,INR 494,38 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,A/C Sleeper (2+1),21:15,12h 25m,09:40,4.6,661,27 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,VE A/C Seater / Sleeper (2+1),19:00,12h 00m,07:00,3.9,INR 549,43 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Awadh Travels,A/C Sleeper (2+2),20:55,11h 45m,08:40,4.7,719,46 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Khurana Bus Service,Volvo A/C (2+2),12:30,14h 10m,02:40,3.3,679,28 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Ashok Bus Service,VE A/C Seater / Sleeper (2+1),20:30,12h 00m,08:30,4.4,INR 549,34 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Travel Point,A/C Seater / Sleeper (2+2),15:45,13h 15m,05:00,3.8,528,44 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),17:30,13h 30m,07:00,3.5,INR 799,20 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Jamna Travels-Jammu,A/C Seater / Sleeper (2+2),20:30,11h 30m,08:00,1.9,INR 949,30 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,City Land Travels,A/C Seater/Sleeper (2+1),18:30,12h 00m,06:30,3.6,495,40 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,City Land Travels,A/C Seater/Sleeper (2+1),22:16,10h 39m,08:55,3.4,540,29 Seats available
